final_preprocessed_text,sentiment
im not big fan boll work not many enjoyed movie postal maybe im one boll apparently bought right use far cry long ago even game even finsished br br people enjoyed killing mercs infiltrating secret research lab located tropical island warned not far cry something mr boll schemed together along legion schmuck feeling loneley set mr boll invite three countryman play player go name til schweiger udo kier ralf moellerbr br three name actually made self pretty big movie biz tale go like jack carver played til schweiger yes carver german hail bratwurst eating dude however find tils acting movie pretty badass people complained he not really staying true whole carver agenda saw carver first person perspective dont really know looked like kicking br br however storyline film beyond demented see evil mad scientist dr krieger played udo kier making geneticallymutatedsoldiers gm called performing topsecret research island reminds spoiler vancouver reason thats right no palm tree instead got nice rich lumberjackwoods havent even gone far started cry mehehe not go wan na stay true boll shenanigan go see movie not disappointed delivers true boll experience meaning suckbr br thing worth mentioning would imply boll good work area film nice boat fighting scene whole cromedalbino gm squad enters scene everything make laugh movie far cry reek scheisse thats poop simpleton far wan na take wiff go ahead btw carver get annoying sidekick make wan na shoot first three minute he screen,negative
cast played shakespearebr br shakespeare lostbr br appreciate trying bring shakespeare mass ruin something goodbr br scottish play favorite shakespeare not know know certain rev bowdler hence bowdlerization tried something similar victorian erabr br word not improve perfectionbr br no write write least ten line text english composition never forte keep going say movie saying go not cut,negative
fantastic movie three prisoner become famous one actor george clooney im not fan roll not bad another good thing movie soundtrack man constant sorrow recommand movie everybody greeting bart,positive
kind drawn erotic scene realize one amateurish unbelievable bit film ive ever seen sort like high school film project rosanna arquette thinking stock character bizarre supposed midwest town pretty hard get involved one no lesson learned no brilliant insight stilted quite ridiculous lot skin intrigue videotaped nonsensewhat bisexual relationship nowhere heterosexual encounter absurd dance everybody playing stereotyped role give one pas like million mile bad wasted film money could spent starving child aid africa,negative
film simply not remade one not bad film fails capture flavor terror film title liam neeson excellent always cast hold exception owen wilson not bring right feel character luke major fault version strayed far shirley jackson story attempt grandiose lost thrill earlier film trade snazzier special effect say not bad film enjoy friction terror older version much,positive
movie made one top awful movie horrible br br wasnt continuous minute wasnt fight one monster another no chance character development busy running one sword fight another no emotional attachment except big bad machine wanted destroy br br scene blatantly stolen movie lotr star war matrix br br examplesbr br ghost scene end stolen final scene old star war yoda obee one vader br br spider machine beginning exactly like frodo attacked spider return king elijah wood victim film waitit hypnotizes sting victim wrap upuh hellobr br whole machine v human theme matrixor terminatorbr br example waste time someone tell nazi nazi br br juvenile story line rushed juvenile conclusion movie could not decide childrens movie adult movie wasnt much either br br awful real disappointment say least save money,negative
remember filmit first film watched cinema picture dark place nervous back dad took brother sister newbury cinema newbury berkshire england recall tiger lot snow film also appearance grizzly adam actor dan haggery think one tiger get shot dy anyone know find dvd etc please let knowthe cinema turned fitness club big shame nearest cinema mile away would love hear others seen film like,positive
awful film must real stinker nominated golden globe theyve taken story first famous female renaissance painter mangled beyond recognition complaint not theyve taken liberty fact story good would perfectly fine simply bizarre account true story artist would made far better film come dishwaterdull script suppose werent enough naked people factual version hurriedly capped end summary artist life could saved couple hour theyd favored rest film brevity,negative
success die hard sequel no surprise really glut die hard movie cashed wrong guy wrong place wrong time concept cliffhanger die hard mountain time rescue sly stop mom shoot stallones careerbr br cliffhanger one big nitpicker dream especially expert mountain climbing basejumping aviation facial expression acting skill full excuse dismiss film one overblown pile junk stallone even managed get outacted horse however forget nonsense actually lovable undeniably entertaining romp delivers plenty thrill unintentionally plenty laughsbr br youve got love john lithgows sneery evilness tick every box band baddie best permanently harassed hapless turncoat agent rex linn traversbr br may henry portrait serial killer michael rooker noteworthy cringeworthy performance hal insists constantly shrieking painful disbelief captor man never hurt anybody whilst surely cant really look like ralph waite frank character grinning girl plummet deathbr br mention must go former london burning actor craig fairbrass brit bad guy come cropper whilst using hal human football yes cant help enjoy bit hal needed good kickingbr br forget better judgement care could never happen lower acting expectation turn volume enjoy youre looking qaulen he one wearing helicopter,positive
terrible misfortune view bmovie entiretybr br say save time money got worst bmovie time shouldnt even called bmovie like fmovie fails aspect make good movie story not interesting actor paperthin not believable bad direction action sequence fake almost funnyalmostbr br movie packed full crappy oneliners no respectable person could find amusing least little bitbr br movie supposed geared towards men woman utterly unattractive especially old wrinkled thing come towards end try appear sexy weird horrible costume fail miserablybr br even ridiculous bmovies still give laugh painful watch,negative
absolutely stunning movie hr kill watch wont regret much fun rajnikanth carry movie shoulder although isnt anything still liked music arrehman take time grow heard time really start liking,positive
first let get thing straight anime fan always matter fact used watch speed racer time preschool b like several bmovies theyre hilarious c like godzilla movie lotbr br moving movie first come seems like going usual bmovie crappy fx sudden boom anime come movie go wwwaaaaayyyyy downhillbr br animation bad cheap even worse remember speed racer crissakes fact cheap one scene movie vividly remember bunch kid run school kid fx terrible dinosaur look worse godzilla addition transition live action animation unorganized dialogue voicesespecially english dub viewed horrid begging dad take tape dvd vhs player thing kept surviving cracking joke comment like robot joelmike mstk pick season honestly way barely enjoy movie survive timebr br heck im planning show another fellow otaku pal mine halloween bmovie night stupid pretty painful watch unintentionally hilarious time im giving movie improvement originally going give itbr br according grading scale mean pretty much boring bad fun counting three unless find way make fun become fun counting,negative
worst movie saw worldfest also received least amount applause afterwards think receiving recognition based amount known actor film great see jbeals shes movie minute mparker much better actress part allowed rest acting hard judge movie ridiculous predictable main character totally unsympathetic therefore bore watch no real emotional depth story movie revolving actor cant get work doesnt feel original development cop feel like one many straighttovideo movie saw back not even good one standardsbr br,negative
karen carpenter story show little singer karen carpenter complex life though fails giving accurate fact detailsbr br cynthia gibb portrays karen not fine election good actress play naive sort dumb karen carpenter think role needed stronger character someone stronger personalitybr br louise fletcher role agnes carpenter terrific great job karen motherbr br great song could included soundtrack album unfortunately werent though movie top rating usa several country,positive
cell exotic masterpiece dizzying trip not vast mind serial killer also one talented director conclusive evidence achieved human being unleash uninhibited imagination boldness work pushing aside thought fall formula cliche creating something truly magnificent best movie year datebr br ive read numerous complaint film anywhere style no substance poorly cast character bad acting negatively criticize film miss point movie may landmark tradition future movie hopefully follow cell opened door another world imagination slam door face tell director tarsem singh dont want personally would welcome another movie tarsem would love see someone try challenge himbr br weve heard talk going inside mind serial killer yes agree genre bit overworked full movie trying depict make serial killer tick worked failed cell not blaze trail given new twist physically transported mind presented nothing less fascinating journey mysterious subject matter ever studiedbr br like movie not bog u much scientific jargon trying explain jennifer lopez actually get enter brain another instead lie laboratory table wrapped look like really long twizzlers jaunted another entity cell want let see not guess thats people dont like true like explanation movie movie venture onto new ground must let desire simply take inbr br noticed film dark showed reality maybe contrast bright visuals inside brain another nonetheless set design simply astonishing wouldnt surprised film took home oscar cinematography best costume best director like itd least get nominated best picturebr br ive noticed ive kind repeating not there nothing else say cant stress enough fantastic thought cell walk movie open mind taken wonder eyepopping feast assured good time guess film little much people writing weird crazy much psychology imagination human mind right alley leaving theater heard one audience member say whoever made movie sure lot good drug want smokingbr br,positive
film tried many thing stinging political satire hollywood blockbuster sappy romantic comedy family value promo list go failed miserably enough interest keep turning endbr br although appreciate spirit behind war inc depresses see clumsy effort especially taken target reflect lack existence serious critique rather simply poor writing direction production particular filmbr br critique made corporatization war poking fun way diminishes true atrocity happening reminds bit three king similarly trivializes genuine cause concern,negative
movie frustrating everything seemed energetic totally prepared good time least thought id able stand wrong first weird looping like watching america funniest home video damn parent hated much stereotypical latino family need speak person responsible need talk little girl always hanging someone hated mention final scene transcends must say gloriously bad full badness movie crappy dancing horrible beautiful,negative
war movie hollywood genre done redone many time clichd dialogue rehashed plot overthetop action sequence seem unavoidable conflict dealing largescale combat however war movie come along go grain brings truly original compelling story life silver screen civil warera cold mountain starring jude law nicole kidman rene zellweger filmbr br calling cold mountain war movie not entirely accurate true enough film open quite literally quickanddirty battle sequence put glory director edward zwick shame however cold mountain not much civil war period people time story center around disgruntled confederate soldier inman played jude law becomes disgusted gruesome war homesick beautiful hamlet cold mountain north carolina equally beautiful southern belle left behind ada monroe played nicole kidman first glance setup appears formulaic romantic interest back home give audience enough sympathy root reluctant soldier tribulation battlefield indeed earlier segment film relatively unimpressive even somewhat contrivedbr br cold mountain soon take drastic turn though intrepid hero inman turn deserter incidentally saving audience potentially confusing scenario wanting root confederate begin long odyssey homeward meanwhile back farm ada cultured way prove little use field soon transformed something wilderbeast coming ada rescue course toughasnails ruby thewes played rene zellweger help ada put farm back together perhaps importantly cope loneliness isolation war seems brought upon adabr br within two setting vivid compelling time disturbing portrait wartorn south unfolds character inman ada interact surprisingly complex enhanced wonderful performance brendan gleeson ruby deadbeat father ray winstone unrepentant southern lawman natalie portman deeply troubled isolated young mother greatly affected changed war northern aggression mostly worse dark pervading antiwar message accented effective haunting score chillingly beautiful shot virginia north carolina communicated audience not much gruesome battle scene scarred land traumatized people war fought though weapon tactic war changed much past century hellish effect land timelessly relevantbr br director anthony minghella manages maintain gloomy mood film atmosphere unfortunately denigrated rather tepid climax little justice wonderfully formed character love story inman ada awkwardly tacked onto beginning end film though inherently distant abstracted even absurd nature relationship way fit dismal nature rest plotbr br make no mistake cold mountain neither trait feelgood romance inspiring war drama unique vision era sure not entertain also truly absorb audience life people torn apart war entirely desperate rid terrible repercussion altogether,positive
taut organically gripping edward dmytryks crossfire distinctive suspense thriller unlikely message movie using look device noir cyclebr br bivouacked washington dc company soldier cope restlessness hanging bar three end stranger apartment robert ryan drunk belligerent beat host sam levene death happens jewish police detective robert young investigates help robert mitchum who assigned ryans outfit suspicion fall second three george cooper vanished ryan slays third buddy steve brodie insure silence young close inbr br abetted superior script john paxton dmytryk draw precise performance three starring bob ryan naturally prototypical angry white male hilt mitchum underplays characteristic alert nonchalance role however not central young may never better gloria grahame give first fullyfledged rendition smartmouthed vulnerable tramp sad sack who leeched life paul kelly haunt u small peripheral role make memorablebr br politically engaged dmytryk perhaps inevitably succumbs sermonizing pretty much confined young reminiscence irish grandfather died hand bigot century earlier thus incidentally stretching chronology limit least there no attempt render explanation however glib ryan hate jew hillbilly andbr br curiously crossfire survives even major change wrought upon novel based richard brook brick foxhole dealt gaybashing murder homosexuality still beyond pale news holocaust however begun emerge ash europe hollywood felt emboldened register protest antisemitism studio always quaked prospect offending potential ticket buyerbr br change homophobia antisemitism work general specific dont fit smoothly victim chatting lonesome drunk young soldier inviting back home look odd even though especially since there girlfriend tow raise question whether scenario retained inadvertently left discreet tipoff original engine generating ryans murderous rage,positive
ardh satya one finest film ever made indian cinema directed great director govind nihalani one successful hard hitting parallel cinema also turned commercial success even today ardh satya inspiration leading director indiabr br film tell reallife scenario mumbai police unlike police city india mumbai police encompasses different system altogether govind nihalani creates practical outlay real life approach mumbai police environmentbr br amongst various police officer colleague film describes story anand velankar young hotblooded cop coming poor family father harsh police constable anand suffers father ideology incidence father atrocity mother anands approach towards immediate action crime inert craving job satisfaction film revolved plot wherein anands constant effort crime trampled seniorsthis lead frustration not achieve desired jobsatisfaction resulting frustration anger expressed excessive violence remand room bar also turning alcoholicbr br spirit within still alive constantly fight system aware system metro police politician inertly associated far end compromise towards unethical practice negative finally get suspendedbr br direction master piece thoroughly hard core one best memorable scene anand break underworld gangster rama shettys house arrest followed short conversation fantastic many scene film hairraising momentsbr br practical approach script major punch alcoholism corruption political influence courage deception integral part mumbai police even today aspect dealt brilliantlybr br finally film belongs one man show om puri portraying anand velankar traversing emotion absolutely brilliantly,positive
first exposure templarios not good one excited find title among offering anchor bay video brought u cult classic spider baby print quality excellent alone cant hide fact film deadly dull there thrilling opening sequence villager exact terrible revenge templar set whole thing motion everything else movie slow ponderous ultimately unfulfilling adding insult injury movie dubbed not subtitled promised video jacket,negative
one significant quote entire film pronounced halfway protagonist mafia middleman titta di girolamo physically nondescript middleaged man originally salerno southern italy introduced start film he living nonlife elegant sterile hotel italianspeaking canton switzerland last ten year conducting business gradually introduced pivotal yet apparently unremarkable scene take place employee swiss bank normally count di girolamos cash tell dollar missing usual suitcase full tightly stacked banknote news quietly icily threatens coaxing bank manager wanting close account meanwhile tell u spectator bluff bluff right end without fear caught appearing ridiculous say cant bluff halfway tell truth eventually done bluffed halfway told truth accepted consequence life ultimately love exactly reason behind beginning titta di girolamos trouble br br initially unsympathetic character scowling taciturn curt man verge man wont even reply kind chambermaid waitress say hello goodbye becomes one point someone spectator care deeply one point nonlife titta decides feel concern appearing ridiculous first half film may described slow indeed reveal di girolamos day night hotel oddly disjoined deliberate pace revealing seemingly mundane irrelevant detail however scene may seemed unnecessary reveal essential masterfully constructed innovative film unfolds eye existence titta di girolamo man no imagination identity life unsympathetic character unexpectedly end loving feeling least thought would also conveyed elegantly edited sequence interesting use music one theme scottish band board canada especially stood br br never contrast way hollywood italy treat mobster odds since release film le conseguenze dellamore limbalsamatore another interesting element way film made use protagonist insomnia not unlike machinist far explicit way al pacino film insomnia le conseguenze dellamore us condition symbolise deeper emotional malaise thats rammed deep obscurity unconscious almost impossible pinpoint cause indeed one br br young sympathetic hotel waitress sofia played olivia magnani granddaughter legendary anna memory tittas best friend man hasnt seen year unexpectedly provide tiny window onto life titta eventually though tentatively first accepts look though never explicitly spelt spectator know man like titta accepting consequence love unimaginable consequence film without single scene sex violence film unfolds time concedes nothing spectator expectation le conseguenze dellamore fine representative small quiet discreet renaissance taking place italian cinema since decline cinecitt second half world waiting italy produce il postinolike fare la vita bellastyle film neglecting explore fine creation like le conseguenze dellamore limbalsamatore others loss world,positive
watched film not really expecting much got pack film pretty terrible way fiver could expect know right terrible movie stretching interesting point occasional camcorder view nice touch drummer like drummer ie damned annoying well thats actually problem boring assume attempt build tension whole lot nothing happens utterly tedious thumb fast forward button ready press movie gave go seriously lead singer band great looking coz dont half mention beautiful hell lot thought looked bit like meercat havent even mentioned killer im not even gon na go not worth explaining anyway far im concerned star london reason watch exception london actually quite funny wasnt acting talent ive certainly seen lot worse ive also seen lot better best avoid unless bored watching paint dry,negative
bought film blockbuster sounded interesting bit ranmaesque idea someone dragging around skeleton cute girl miniskirt back restricted viewing sticker thought going sweet least sincere coming age story weird indie edge wrongbr br watched wonder got restricted sticker since hardly foul language little violence closest thing nudity honestly dont usually go around hoping girl nightgown see panty see panty lot movie no matter shes wearing miniskirt sort even antireligious humor tame lame caricatured insincere derivative unoriginal worst not funny slightestit would better listen ray stevens would jesus wear rolex television show would barely qualify pg not rated blockbuster refuse let anyone age rent thisas pornographic little kid could go rent edited version requiem dream insist zack reba worsebr br not waybr br way worry methe thing left could offend people idea suicide beginning anybody need see movie honestly portrayed suicide not one better one like virgin suicide teenager movie rated r purely suicide aspect little chance turning story ive writing pg movie main character eleven half twelve suicide one top three leading cause death teenager think number chance teen affected itbr br say no movie though,negative
plot death little child hopper one investigate killing movie appears trouble daughter end serial killer get caught thats find dunnit see terrible acting actor unbelievable bad actor including hopper could go like much waste time dont watch movie ive warned,negative
ever watched movie lost plot well didnt even really one begin withbr br begin achingly tedious scene heroine sitting around house actually no sense menace even foreboding created even apparently constant thunderstorm strangely never actually heard housegreat double glazing house apparently mile town yet several hour walk away third girl serf no purpose plot except provide surprisingly quick gory murder tedium becomes unbearable even beginning suggests spate killing throughout area even though apparent killer never venture far house bizarre ritual salt pepper pretty much sum film inherent lack directionbr br add lead actress cant act least willing completely irrelevant nude shower scene video truly nasty not way hopebr br given following simply banned uk mostly final surprisingly extended murder offer nothing curiosity value one classic daft murder dont worryits telegraphed least ten minute beforebr br walk wood victim come rather steep upward slope obviously struggle halfway see figure top dressed black brandishing large scythe slide run like rest u no course not struggle top stand conveniently nice upright front murder weaponbr br really movie say,negative
okay series kind take route go week week david mors character help ride bit pickle whats wrong david morse one greatest character actor certainly coolest series created david koepp great writer heavenbr br due lack love show many cant see going season series never know amount rubbish made beyond baffle let hope something good make past first series,positive
sitting pile dung husband wondered whether actually product experiment see whether computer program could produce movie listless formulaic u propaganda thrown face throughout film provesdisappointinglythat work human call conspiracy theorist quote like steal declaration independence protect seem like way justify action like invasion iraq etc fact nicholas cage spews line like would never use declaration independence bargaining chip straight face made husband wonder whether entire cast took valium shooting scene reasoning behind plot turn new clue truly ridiculous impossible follow there also bonus side plot misogyny dr whateverhernamewas chided involved never shutting shes clearly movie look felt need slap dr title character give gravity one point cage character say dont ever shut camera pan looking poutily hand like shes child truly grotesque benefit movie astonishingly bad get laugh really scary thing majority people watching movie u seemed enjoy creepy,negative
clichs movie type no substance plot went nowhere end movie felt like sucker watching production good however script acting bmovie quality casting poor good actor mixed crumby actor good actor didnt hold lift others br br movie not worthy word say meet minimum requirement ten line james wood cuba gooding jr play caricature movie br br looking mindless entertainment still wouldnt recommend movie,negative
movie based book many splendored thing han suyin tackle issue race relation asian white topic come han personal experience eurasian growing china background beautiful hong kong setting give love story unique rather daring atmosphere timebr br story stereotypical romance memorable song perhaps remembered movie beautiful jennifer jones look part give wonderful oscar nominated performance doctor mixed breed advent communism mainland china william holden never looked better playing romantic lead journalist covering war torn region world acting top notch chemistry two lover provides genuine moment silver screen affection sure melt heart romantically inclinedbr br cinematography really brings fifty hong kong especially hilltop overlooking harbor two lover spend intimate moment ending real tearjerker may consider sentimental romance pas enjoy classic hollywood love story shining example,positive
film seen one rage got one worst yet direction logic continuity change plotscript dialog made cry pain could anyone come something crappy gary busey know b movie sure w movie wwastebr br take example two dozen fbi local law officer surround trailer house jeep wagoneer inside jeep confused cop within second huge gun battle ensues killed straight cop blast away jeep gary company blasting away cop fall like domino jeep gary drive around circle not hit one single bulletpellet killed gary seems not noticeddamn guy tough truly miracle not since sixshooter held bullet miracle,negative
heard good thing state grace came open mind thought god army okay thought maybe dutcher improved matured filmmaker film began shaky acting thought well maybe get better unfortunately never picture start introducing two elder mormon missionary seems audience get know grow care instead story degenerate highly improbable series unfortunate event highlighting blatant disobedience missionary something undeniably exists rarely level dutcher portrays becomes almost laughablebr br dutchers success movie successful alienation target audience unrealistically inaccurately portraying life mormon missionary dutcher accomplishes nothing angering predominantly mormon audience film no way reflects reality mission nothing like dutcher show served mormon mission attest fact gang life california certainly contains much explicit language occasional mild vulgaritybr br conclusion im assuming supposed touch audience inspire believe forgiveness available unbelievable cmon entire mission gather see elder sent home mom girl standing right next cheesy next time dutcher try making movie someone identify,negative
movie struck home remember father working factory figured worked hard pride never gave could american dream house kid car call ive noted however without degree something unlike father quit ninth grade keen sense greed laziness cant get anywherebr br would like know anyone movie dvd vhs made tv saw hour ago ic ant find anywhere id love show friend pseudo friend family relative see think remind upon time american would work sake feeling honor pride accomplished think feeling still heavy downward spiral many thing made overseas,positive
disclaimer ive seen movie time last year saw musical week allowed judge movie without tainted wasnt musical however tainted watched musical br br actually believe michael douglas worked quite well role along kasey think let dance scene one best part movie worthwhile addition compared musical dancer singing movie much superior musical well cast least time bigger easier movie course decor lighting dancing singing also much superior movie expected indeed delivered br br song common musical better done movie new one quite good one whole movie delivers musical opinion especially compared musical decor one bad point movie obvious cut actor talking dubbed singer singing portion character dancing impeccable end product enjoyable musical,positive
protocol implausible movie whose saving grace star goldie hawn along good cast supporting actor story revolves around ditzy cocktail waitress becomes famous inadvertently saving life arab dignitary story go downhill halfway movie goldies charm doesnt save movie unless goldie hawn fan dont go way see film,negative
film could classified drama no idea john voight mary steenburgen would trying erase cv historically accurate xena hercules abraham moses got melded noah lot abraham nephew lot turn thousand year would born canaanite wandered earthreally scriptwriter thinking ignorance remember something noah animal lot canaanite stuff sunday school trying offend maximum number people planet possible christian jew muslim historian archaeologist geologist psychologist linguist matter fact anyone not get offended anyone even modicum taste would winced one,negative
preston sturgis power glory unseen public nearly twenty thirty year late resurfaced even showed television meantime gained notoriety pauline kaels citizen kane book suggested herman mankiewicz orson welles screenplay kane based sturgis screenplay mentioned beginning thread film imdb web site kael overstated casebr br six narrator take turn dealing life charles foster kane newsreel representing ralston henry luce clone thatcher memoir bernstein jed leland susan alexander kane raymond butler different slant kane reflecting faith disappointment hatred man course also reveals failing telling version kanes story method also lead frequent overlapping retellings incidentbr br not situation power glory yes like kane legendary business leader tom garner spencer tracy man rose bottom head successful railroad system country two narrator garner right hand man henry ralph morgan wife sarah padden restricts nearly three dimensional view get time kane garner henry narrates talking bos friend respected loved wife like voice skeptical public see flaw henrybr br typical example although worked way tom becomes antilabor later year union troublemaker not care slowed shenanigan henry describes tom confrontation union major walkout preoccupied detriment home life henry wife reminds tom used scab violence end strike apparently blowing union headquarters killing many people two view man one pure white one pure blackbr br im not really knocking power glory not duplicating kanes success film including orson welles film aware story presented well enough hold one interest end thanks performance tracy colleen moore wife sally tragedy worldly success pair fully brought homebr br marry tom want well part give wife family benefit never america great business success come cost tom get deeply involved running railroad empire expands improves constantly take away home much loses touch sally also notice eve helen vinson younger woman becomes mistress sally learns unfaithful behavior destroys herbr br similarly tom get full shock make martyr eye henry eve marries tom present son turn eve son tom son tom jr philip trent discovery incestuous cuckolding cause tom shoot himselfbr br film not total success action jump time unconvincingly yet make business seem real note scene tom tell board director plan purchase small rival train line discusses use debenture financing plan sturgis came wealthy background could bring type detail whole first rate film no citizen kane perhaps interest movie lover attempt business realism social commentary depression america,positive
average surprisingly tame fulci giallo mean still quite bad normal standard redeemed solid buildup nice touch neat time twist issue vision clairvoyancebr br genre wellknown weakness full gear banal dialogue wooden acting illogical plot point finale go much long denouement prof rather lame shall say limp affairbr br fulcis ironic handling giallo norm amusing though yellow clue wherever lookbr br limping killer,negative
return th chamber one classic kungfu movie shaw produce back whose genre equivalent spaghetti western hollywood protagonist gordon liu counterpart western clint eastwood digitally remastered new print made fantastic film fest presented shaw scope like good old daysbr br film simple story good versus evil told act less sum narrative martial art film erabr br act one set premise worker dyemill small village unhappy lot wage cut incoming manchu gangster cant much exploitation none martial art skilled take gangster bos first minor success getting liu impersonate highly skilled shaolin monk one best comedy sequence rouse got exposed pushed limit credibility impersonating one many timesbr br act two show protagonist wanting get back mob however without real martial art embarks journey shaolin temple try infiltrate learn martial art sly slapstick moment finally get accepted abbot impersonated disappointed teaching method kinda like mr miyagis style karate kid instead painting fence get erect scaffolding around temple nothing keep good man unwittingly build strength endurance learns kungfu unorthodox waybr br act three fight fest begin cheesy sound effect obvious noncontact film given maximum impact treatment rather refreshing watching fight scene wide angled shot highlight clarity detail sparring partner use slowmotion showcase stunt different angle may find speed fight tad slow pause move yuen wo ping style used adnausem hollywood flick sure dont make fight scene like used return th chamber get repeat screening monday youre game nostalgic trip memory lane waiting,positive
spoiler real life well movie familiar story happens many young men put war zone gun rifle hand case young innocent never handling firing gun jimmy davis franchot tone repeated thousand time century men like jimmy davis forced take arm countrybr br jimmy first wanted kicked u army encouraged stay belted mouth good friend fred p willis spencer tracy ended front line france jimmy unit pinned german machine gun nest single handedly put commission picking half dozen german soldier safety nearby church steeple jimmy gunned last surviving german raised arm surrender artillery shell hit steeple seriously wounding himbr br recovering wound army hospital jimmy fell love u army volunteer nurse rose duffy gladys george rose really love jimmy good friend happy go lucky fred despite obnoxious antic towards fred lost fighting western front rose thinking killed fell love later married jimmy fred unexpectedly showed french town jimmy fully recovered wound stationed thing got sticky rose already accepted jimmy proposal marriage herbr br wwi jimmy marrying rose left fred who still love bitter resentful young man almost accident fred ran jimmy street new york city discovered shock surprise completely changed meek nonviolent person knew sent war european western front smug sure ability shoot gun jimmy become top mobster new york city underworld not fred later found wife rose no idea jimmy really involved jimmy telling work law abiding inoffensive insurance adjusterbr br jimmy life crime came full circle rose found secret life ratted police prevent executing valentine day like massacre gang member dressed cop rival mobster trial jimmy came sens admitted guilt willing face music three year sentence get life back together br br spoiler alert hearing rumor fellow convict rose best friend fred affair behind back jimmy broke prison ending fugitive law freds circus work manger barker jimmy seeing rose well fred true like trial sudden change heart thought going back prison least another ten year added sentence much jimmy jimmy decided end letting police tracked job didnt heart,positive
